Name,Average User Rating,User Rating Count,Price,In-app Purchases,Age Rating,Languages,Size,Genres,Original Release Date,Current Version Release Date
17 Blocks,4,3306,0,Yes,4+,AR. HY. CA. CS. DA. NL. EN. FI. FR. DE. EL. HE. HU. ID. IT. JA. KO. MS. NB. PL. PT. RO. RU. ZH. SK. ES. SV. TH. ZH. TR. VI,19123200, Strategy. Entertainment. Puzzle,13/11/2015,13/11/2015
Monster Bomb 2 - Free Match 3,4,3306,0,No,4+,EN,19581952, Strategy. Puzzle,30/10/2015,19/08/2016
City Car Transport - Cargo Trailer Truck,4,3306,0,No,4+,EN,150916096, Entertainment. Strategy. Simulation,1/12/2015,1/12/2015
Ninja Puzzle,4,3306,0,Yes,4+,EN,18070528, Strategy. Puzzle,23/04/2017,24/02/2018
Battle of Arrow : Survival PvP,4.5,196,0,Yes,12+,EN. JA. KO. ZH. TH. ZH,266311680, Action. Sports. Strategy,22/11/2017,4/07/2019
Surrounded - surround the criminal,4,3306,0,No,4+,EN,46484480, Strategy,4/01/2016,4/01/2016
Lost In Holland,4.5,23,0,Yes,4+,EN. FR. DE. JA. RU. ZH. ES. ZH,63992832, Strategy. Entertainment. Puzzle,2/11/2015,5/12/2018
Submarine Hunter Depth Charge,4,12,0,No,12+,EN,108682240, Puzzle. Strategy,25/10/2015,9/12/2017
Zone of Fire,5,19,0.99,No,9+,EN,141622272, Action. Strategy,15/04/2016,19/07/2016
Bubble Shooter Land,4.5,40,0,No,4+,EN. ZH,21024768, Strategy. Puzzle,25/10/2015,4/12/2015
Monster Roller,2.5,10,0,Yes,12+,EN,80003072, Strategy. Role Playing,4/01/2016,26/01/2016
Gods and Glory: War of Thrones,4,888,0,Yes,9+,CS. EN. FI. FR. DE. IT. JA. KO. PL. PT. RU. ZH. ES. TH. ZH. TR. VI,294190080, Role Playing. Strategy,15/11/2016,29/07/2019
BigBang Risen,4,3306,0,No,4+,EN. ZH,16035840, Puzzle. Strategy,3/11/2015,4/12/2015
World War Chess,4,3306,0,No,12+,EN,395404288, Board. Strategy,3/11/2015,3/11/2015
Rocket Warfare Space Vega Attack,4,3306,0,Yes,4+,EN,18063360, Strategy. Adventure,15/11/2015,15/11/2015
Z-Quest (Can you get Z),4,3306,0,Yes,4+,EN. IT. ES,20768768, Board. Strategy,16/11/2015,9/04/2016
2048&Emoji,5,5,0,Yes,4+,AR. EN. JA. ZH. ES,16911360, Puzzle. Entertainment. Strategy,31/10/2015,17/05/2016
Bubble Shooter Redux - Orbital,4,3306,0,No,4+,EN,23099392, Casual. Strategy,29/10/2015,22/05/2018
Ninja Boy Adventures - Bomberman edition,4.5,28,1.99,No,4+,EN. ES,121890816, Casual. Strategy,2/02/2016,17/03/2016
Magical Potions Match Link,4,3306,0,No,9+,EN,83135488, Lifestyle. Puzzle. Strategy,3/11/2015,3/11/2015
Fruit Smash Crush - 3 match puzzle yummy world game,4,3306,0,Yes,4+,CA. CS. DA. NL. EN. FI. FR. DE. EL. HE. HU. IT. JA. KO. NB. PL. PT. RO. RU. ZH. SK. ES. SV. ZH. TR,53784576, Strategy. Action,26/10/2015,26/10/2015
Hella Fly Game,4,3306,0,No,4+,AR. CA. CS. DA. NL. EN. FI. FR. DE. EL. HE. HU. ID. IT. JA. KO. MS. NB. PL. PT. RO. RU. ZH. SK. ES. SV. TH. ZH. TR. UK. VI,7442432, Strategy. Casual,29/10/2015,29/10/2015
Building - Stay 5 Seconds,4,3306,0,No,4+,EN,10662912, Puzzle. Strategy,26/10/2015,23/08/2016
